,label,win,points,aces,dealer card,round,game number
2116,1,True,9,0,4,0,1748
2117,0,True,18,0,4,1,1748
2137,1,True,13,0,7,0,1765
2138,0,True,19,0,7,1,1765
2139,1,True,10,0,11,0,1766
2140,1,True,15,0,11,1,1766
2141,0,True,20,0,11,2,1766
2142,0,True,20,0,10,0,1767
2146,1,True,8,0,11,0,1770
2147,0,True,18,0,11,1,1770
2148,1,True,8,0,4,0,1771
2149,0,True,18,0,4,1,1771
2153,0,True,19,1,5,0,1774
2154,1,True,15,0,10,0,1775
2155,1,True,19,0,10,0,1776
2156,0,True,20,1,10,1,1776
2160,0,True,20,0,5,0,1780
2161,1,True,9,0,10,0,1781
2162,0,True,13,0,10,1,1781
2163,0,True,18,0,6,0,1782
2172,0,True,19,0,3,0,1789
2175,0,True,18,0,2,0,1794
2186,1,True,10,0,11,0,1806
2187,1,True,20,0,11,1,1806
2188,0,True,15,0,4,0,1807
2191,1,True,5,0,9,0,1809
2192,1,True,9,0,9,1,1809
2193,0,True,20,1,9,2,1809
2195,0,True,19,0,6,0,1811
2198,1,True,18,1,4,0,1814
2199,1,True,16,1,4,1,1814
2200,0,True,19,1,4,2,1814
2209,1,True,10,0,9,0,1822
2210,0,True,20,0,9,1,1822
2211,0,True,19,0,7,0,1823
2215,0,True,20,0,10,0,1827
2221,1,True,18,1,10,0,1834
2222,0,True,15,1,10,1,1834
2225,1,True,6,0,8,0,1838
2226,1,True,11,0,8,1,1838
2227,0,True,20,0,10,0,1839
2252,0,True,20,0,10,0,1859
2255,0,True,14,0,3,0,1862
2278,0,True,19,0,5,0,1881
2281,0,True,19,1,4,0,1884
2284,0,True,19,0,3,0,1886
2286,1,True,13,0,10,0,1888
2287,0,True,18,0,10,1,1888
2288,0,True,20,1,6,0,1889
2289,0,True,20,0,11,0,1890
2292,0,True,20,0,10,0,1893
2293,0,True,20,0,10,0,1894
2296,0,True,14,0,10,0,1897
2297,0,True,19,1,4,0,1898
2300,0,True,17,1,3,0,1902
2301,0,True,18,0,10,0,1903
2307,0,True,20,1,8,0,1908
2309,1,True,9,0,5,0,1910
2310,1,True,16,0,5,1,1910
2311,0,True,17,0,5,0,1911
2319,0,True,19,0,10,0,1918
2320,0,True,17,0,4,0,1919
2321,0,True,20,0,4,0,1920
2336,1,True,13,0,6,0,1930
2337,0,True,16,0,3,0,1931
2338,0,True,20,0,4,0,1933
2344,0,True,20,0,4,0,1937
2345,1,True,10,0,2,0,1938
2346,0,True,20,0,10,0,1939
2347,0,True,20,0,11,0,1940
2350,1,True,10,0,2,0,1942
2351,0,True,20,0,2,1,1942
2363,1,True,13,0,9,0,1951
2370,0,True,20,1,10,0,1959
2371,0,True,17,1,9,0,1960
2381,0,True,15,0,4,0,1972
2384,0,True,20,0,5,0,1975
2387,1,True,15,0,4,0,1978
2388,0,True,19,0,4,1,1978
2395,1,True,5,0,6,0,1984
2396,1,True,15,0,6,1,1984
2397,0,True,20,0,6,2,1984
2402,0,True,20,0,10,0,1988
2403,0,True,18,1,10,0,1989
2404,0,True,20,0,4,0,1990
2412,0,True,15,0,5,0,1996
2420,0,True,19,1,10,0,2004
2421,1,True,8,0,7,0,2005
2422,0,True,18,0,7,1,2005
2424,0,True,20,0,11,0,2007
2426,0,True,18,0,6,0,2009
2427,1,True,17,0,4,0,2010
2428,0,True,20,0,4,1,2010
2430,0,True,15,0,5,0,2012
2435,0,True,19,0,10,0,2017
2441,0,True,20,0,8,0,2024
2446,1,True,10,0,5,0,2031
2447,0,True,17,0,5,1,2031
2448,0,True,17,1,6,0,2032
2452,1,True,16,1,10,0,2036
2453,0,True,16,1,10,1,2036
2458,0,True,16,1,4,0,2042
2459,0,True,20,0,10,0,2044
2461,0,True,20,0,2,0,2046
2463,1,True,16,0,7,0,2048
2464,0,True,19,0,7,1,2048
2468,0,True,19,0,8,0,2050
2472,1,True,10,0,8,0,2054
2473,0,True,14,0,8,1,2054
2475,0,True,14,1,3,0,2058
2481,1,True,13,0,5,0,2063
2482,0,True,20,0,5,1,2063
2484,0,True,18,0,6,0,2065
2486,0,True,20,1,11,0,2067
2499,1,True,8,0,7,0,2077
2500,1,True,13,0,7,1,2077
2501,0,True,20,0,7,2,2077
2519,0,True,17,0,2,0,2090
2520,1,True,18,0,2,0,2092
2521,0,True,20,0,2,1,2092
2528,1,True,12,0,6,0,2098
2529,0,True,19,0,6,1,2098
2537,1,True,14,0,9,0,2107
2545,0,True,18,0,4,0,2115
2548,1,True,8,0,10,0,2117
2549,1,True,18,0,10,1,2117
2550,0,True,19,1,10,2,2117
2561,1,True,10,0,10,0,2125
2568,0,True,20,0,10,0,2133
2571,1,True,17,0,10,0,2136
2575,0,True,18,0,10,0,2140
2580,1,True,17,0,5,0,2145
2581,0,True,20,0,5,1,2145
2585,0,True,19,1,7,0,2149
2587,1,True,10,0,10,0,2151
2597,1,True,15,1,10,0,2160
2598,0,True,19,1,10,1,2160
2612,1,True,10,0,3,0,2172
2613,0,True,19,0,3,1,2172
2614,0,True,18,0,10,0,2173
2617,1,True,16,0,7,0,2176
2618,0,True,18,0,7,1,2176
2622,1,True,8,0,9,0,2182
2623,1,True,10,0,9,1,2182
2625,0,True,20,0,10,0,2184
2627,1,True,10,0,5,0,2186
2628,0,True,20,0,5,1,2186
2629,0,True,16,0,8,0,2187
2630,0,True,20,0,11,0,2188
2640,1,True,7,0,7,0,2195
2641,1,True,10,0,7,1,2195
2642,1,True,20,0,7,2,2195
2648,0,True,16,0,4,0,2200
2668,0,True,20,0,10,0,2215
2671,0,True,15,0,9,0,2217
2678,1,True,13,0,4,0,2223
2683,0,True,18,0,4,0,2230
2700,0,True,20,0,4,0,2248
2723,0,True,14,0,10,0,2266
2724,1,True,14,0,10,0,2267
2725,0,True,16,0,10,1,2267
2732,1,True,11,0,10,0,2272
2733,1,True,17,0,10,1,2272
2742,1,True,13,0,4,0,2281
2743,0,True,16,0,4,1,2281
2747,0,True,15,0,5,0,2286
2748,0,True,19,0,6,0,2287
2749,0,True,20,0,4,0,2288
2757,1,True,14,0,4,0,2298
2758,0,True,19,0,4,1,2298
2759,0,True,20,0,8,0,2299
2760,0,True,20,0,10,0,2300
2765,0,True,20,0,10,0,2304
2767,0,True,19,0,10,0,2306
2779,1,True,11,0,9,0,2315
2780,0,True,20,0,9,1,2315
2789,1,True,18,1,6,0,2325
2790,0,True,13,1,6,1,2325
2792,1,True,20,1,9,0,2327
2793,0,True,20,1,9,1,2327
2798,1,True,12,0,5,0,2333
2799,0,True,15,0,5,1,2333
2800,0,True,20,0,7,0,2334
2815,0,True,20,0,4,0,2351
2822,0,True,17,1,7,0,2356
2831,0,True,20,0,5,0,2363
2833,1,True,16,1,9,0,2365
2834,0,True,20,1,9,1,2365
2835,1,True,10,0,9,0,2366
2843,0,True,17,0,8,0,2372
2847,1,True,14,0,10,0,2376
2849,1,True,8,0,7,0,2378
2850,1,True,12,0,7,1,2378
2851,0,True,20,0,7,2,2378
2852,0,True,16,0,4,0,2379
2859,0,True,20,0,2,0,2384
2863,0,True,20,0,2,0,2387
2870,0,True,18,0,4,0,2392
2879,0,True,20,0,11,0,2399
2881,1,True,11,0,8,0,2401
2882,0,True,19,0,8,1,2401
2884,0,True,20,1,8,0,2404
2885,0,True,20,0,2,0,2405
2886,0,True,19,0,6,0,2406
2889,0,True,15,1,3,0,2409
2891,1,True,13,1,4,0,2411
2892,0,True,13,1,4,1,2411
2893,1,True,8,0,4,0,2412
2894,0,True,18,0,4,1,2412
2896,1,True,20,1,8,0,2414
2906,1,True,12,0,4,0,2422
2907,1,True,15,0,4,1,2422
2908,0,True,18,0,4,2,2422
2916,1,True,20,0,7,0,2429
2917,0,True,18,0,4,0,2430
2927,1,True,13,0,10,0,2438
2928,0,True,15,0,10,1,2438
2934,1,True,10,0,10,0,2444
2935,0,True,19,0,10,1,2444
2938,0,True,19,1,3,0,2447
2950,1,True,14,0,2,0,2457
2951,0,True,19,0,2,1,2457
2953,1,True,10,0,10,0,2459
2954,0,True,18,0,10,1,2459
2956,1,True,8,0,4,0,2461
2957,0,True,18,0,4,1,2461
2961,0,True,20,0,7,0,2463
2965,0,True,20,0,8,0,2470
2992,0,True,20,1,10,0,2490
3001,0,True,13,0,2,0,2497
3002,0,True,16,0,6,0,2498
3003,1,True,10,0,7,0,2499
3007,0,True,15,1,3,0,2503
3025,1,True,5,0,10,0,2518
3026,1,True,10,0,10,1,2518
